NO,체험프로그램명,체험처명,체험처유형,체험프로그램 직업유형,체험유형,초등학교대상여부,중학교대상여부,고등학교대상여부,위도,경도,체험인원,유무료구분,유료금액,체험시간,대면비대면구분,안전도,교육기부인증기관여부,체험지역명,체험진행장소
681,[특수학급] 꿈을 만드는 생활목공 교실,(유)사각사각,개인사업장,공예원,현장직업체험형,Y,Y,Y,35.9442573002663,126.949596296943,40,유료,20000.0,2.0,79001,,,전북 익산시,학교
680,뷰티 전문가의 고객 상담 체험 – 피부관리사가 되어 상담해 보자!,김포 구래 피부관리 오늘도 예쁨,개인사업장,피부 및 체형 관리사,현장직업체험형,Y,Y,Y,37.6437250386719,126.625092922928,12,유료,10000.0,2.0,79001,,,경기 김포시,체험처
679,2026 찾아가는 과학교실,(주)유스페이스,민간기업,자연과학 연구원 및 시험원,직업실무체험형,Y,Y,Y,37.6125857877932,127.151716222848,500,유료,0.0,6.0,79001,,,경기 남양주시,체험처
678,2026 찾아가는 과학축제,(주)유스페이스,민간기업,자연과학 연구원 및 시험원,직업실무체험형,Y,Y,Y,37.6125857877932,127.151716222848,500,유료,0.0,6.0,79001,,,경기 남양주시,체험처
677,"인쇄 직업 진로체험 - 옛날 인쇄기로 문선책갈피 만들기(문선공,인쇄공)",출판도시활판인쇄박물관,민간기업,기타,직업실무체험형,Y,Y,Y,37.7085496415678,126.686833634678,20,유료,15000.0,2.0,79001,,62001.0,경기 파주시,체험처
676,창원 반려동물 진로체험 교실,펫빌리지 반려동물 문화센터,공공기관/공기업,반려동물 미용 및 관리 종사원,직업실무체험형,Y,Y,Y,35.1973355970266,128.663355988023,25,무료,,2.0,79001,,62001.0,경남 창원시,체험처
675,2026 찾아가는 과학공연,(주)유스페이스,민간기업,자연과학 연구원,직업실무체험형,Y,Y,Y,37.6125857877932,127.151716222848,500,유료,0.0,3.0,79001,,,경기 남양주시,학교
674,"향기로 만나는 나, MBTI 향수 조향 (학교) 30ml",리베르노(reverno) 공방,개인사업장,자연과학 연구원,직업실무체험형,Y,Y,Y,37.7305130820959,126.754807689335,100,유료,35000.0,2.0,79001,,,경기 파주시,학교
673,찻잎 넣은 손두부 만들기 (시식 가능),참곱다 농촌교육농장,개인사업장,식품 가공 기능원,현장직업체험형,Y,Y,Y,33.39422661628562,126.72375073314342,100,유료,16000.0,2.0,79001,,62001.0,제주 서귀포시,체험처
672,[부산] 2026 나도 요리사! 요리사 진로체험,미소쿡,개인사업장,주방장 및 요리 연구가,직업실무체험형,Y,Y,,35.2058795790036,128.996439253301,20,유료,30000.0,2.0,79001,,,부산 북구,체험처
671,친환경 에너지 데이터 분석가,사)우리,민간기업,컴퓨터 하드웨어 기술자 및 연구원,직업실무체험형,,Y,,34.9424127162918,126.617987896213,20,유료,50000.0,4.0,79001,,62001.0,전남 나주시,학교
670,2026년 학교연계프로그램 [진로연계교육-자율주행로봇],서산문화복지센터,공공기관/공기업,기타,직업실무체험형,Y,Y,,36.79237325926654,126.462911712972,450,무료,,2.0,79001,,62001.0,충남 서산시,체험처
669,AI 웹/앱 크리에이터,사)우리,민간기업,기타 컴퓨터 전문가 및 소프트웨어 전문가,직업실무체험형,,,Y,34.9424127162918,126.617987896213,20,유료,50000.0,4.0,79001,,62001.0,전남 나주시,학교
668,AI 드론 소방관,사)우리,민간기업,소방관,직업실무체험형,,,Y,34.9424127162918,126.617987896213,20,유료,50000.0,4.0,79001,,62001.0,전남 나주시,학교
667,[서울경기] 친환경자동차연구원-하이브리드듀얼카,조이에듀,개인사업장,자동차공학,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,21000.0,2.0,79001,,,경기 구리시,학교
666,호수목장 피자 만들기 체험,호수목장,개인사업장,낙농 종사원,직업실무체험형,Y,Y,Y,36.849346041338194,128.63814680513386,20,유료,25000.0,2.0,79001,,,경북 영주시,체험처
665,[서울경기] 드론조종사-플라잉옥타곤,조이에듀,개인사업장,항공기·선박·철도 조종사 및 관제사,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,21000.0,2.0,79001,,,경기 구리시,학교
664,[서울경기] 전투기조종사-파이팅이글,조이에듀,개인사업장,항공기 조종사,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,15000.0,2.0,79001,,,경기 구리시,학교
663,[서울경기] 음향공학기술자-블루투스스피커,조이에듀,개인사업장,음향물리,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,21000.0,2.0,79001,,,경기 구리시,학교
662,[서울경기] 자동차공학기술자-배트맨카,조이에듀,개인사업장,자동차공학,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,16000.0,2.0,79001,,,경기 구리시,학교
661,[서울경기] 전기공학기술자-로프건,조이에듀,개인사업장,전기공학 기술자 및 연구원,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,19000.0,2.0,79001,,,경기 구리시,학교
660,[서울경기] 항공우주공학자-로켓런처,조이에듀,개인사업장,항공우주공학,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,21000.0,2.0,79001,,,경기 구리시,학교
659,[서울경기] 무대조명기술자-레이저쇼프로젝터,조이에듀,개인사업장,조명·영사 기사,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,21000.0,2.0,79001,,,경기 구리시,학교
658,미래농업 드론 데이터 분석가,사)우리,민간기업,기타,직업실무체험형,,Y,,34.9424127162918,126.617987896213,20,유료,50000.0,4.0,79001,,62001.0,전남 나주시,학교
657,문화재 디지털 복원 전문가,사)우리,민간기업,기타,직업실무체험형,,Y,,34.942235687227424,126.61839034613628,20,유료,50000.0,4.0,79001,,62001.0,전남 나주시,학교
656,AI 드론 재난 수색 구조관,사)우리,민간기업,소방관,직업실무체험형,Y,,,34.942244597787166,126.61835746520124,20,유료,50000.0,4.0,79001,,62001.0,전남 나주시,학교
655,[서울경기] 미디어아트작가-라이팅스타,조이에듀,개인사업장,미디어 콘텐츠 디자이너,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,16000.0,2.0,79001,,,경기 구리시,학교
654,[서울경기] VR개발자-가상시뮬레이터,조이에듀,개인사업장,소프트웨어 개발자,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,15000.0,2.0,79001,,,경기 구리시,학교
653,드론 촬영 및 영상 크리에이터 전문가,사)우리,민간기업,촬영 기사,직업실무체험형,Y,,,34.94220833655999,126.61829195392262,20,유료,50000.0,4.0,79001,,62001.0,전남 나주시,학교
